Product name,Unit Cost,SubCategory ID,Brand,Product ID
"VIP Hair Colour Shampoo For Men and Women , Black",820,Subcat14,VIP,OFF-BIC-10003680
"VIP NATURAL HAIR COLOUR SHAMPOO 180 ML , Black",444,Subcat14,VIP,OFF-LA-10001185
"L'Oréal Paris Excellence Creme Hair Color , Burgundy 3....",496,Subcat14,L'Oréal,OFF-EN-10000755
"BIOTIQUE Bio Herbcolor 1N Natural Black 50 gm +110 ml ,...",242,Subcat14,BIOTIQUE,OFF-PA-10001593
"L'Oréal Paris Excellence Creme Hair Color , Black 1",585,Subcat14,L'Oréal,OFF-PA-10004248
"URBANMAC Fruit Vinegar Gel Based Hair Color , Black",580,Subcat14,URBANMAC,OFF-HAR-10000495
Indus Valley BIO Organic INDIGO HENNA (Indigofera Tinct...,349,Subcat14,Indus,OFF-PA-10002986
Indus Valley BIO Organic Soft Black Henna Hair Color - ...,349,Subcat14,Indus,FUR-CH-10000027
"VIP Hair Colour Shampoo, 180ml , Black",421,Subcat14,VIP,OFF-AP-10002306
"Godrej Expert Rich Creme Hair Colour Pack of 4 , NATURA...",117,Subcat14,Godrej,TEC-CO-10004202
"VIP Hair Colour Shampoo, 20ml (Pack of 6) , Black",271,Subcat14,VIP,OFF-AP-10002361
Indus Valley Damage Free Gel Black Hair Color Touch-up ...,349,Subcat14,Indus,TEC-CIS-10000351
"BEAUTE BLANC FRUIT VINEGAR HAIR GEL bottles , BLACK",470,Subcat14,BEAUTE,TEC-CO-10003992
"URBANMAC Fruit Vinegar Black Gel Color Pack of 1 , BLAC...",470,Subcat14,URBANMAC,TEC-AC-10000483
"BEAUTE BLANC FRUIT GEL COLOR SET OF 1 , NATURAL BLACK",470,Subcat14,BEAUTE,TEC-APP-10001965
"L'Oréal Paris Casting Creme Gloss Hair Color Dark Brow,...",248,Subcat14,L'Oréal,FUR-FU-10003939
"Bigen Men's Speedy , Natural Black",405,Subcat14,Bigen,OFF-ST-10004365
Bigen Long Lasting Powder Hair Colour For Men And Women...,230,Subcat14,Bigen,FUR-IKE-10003642
"L'Oréal Paris Casting Creme Gloss Hair Color, Darkest B...",248,Subcat14,L'Oréal,OFF-SU-10001731
THE MAN COMPANY Black perfume Eau de Toilette  -  50 ml,424,Subcat15,THE MAN COMPNAY,FUR-CH-10003965
Bella vita organic Luxury Unisex Perfume Gift Set For M...,620,Subcat15,Bella Vita,OFF-SU-10001869
FOGG Scent Xtermo 50ml Eau de Parfum  -  50 ml,242,Subcat15,FOGG COMPNAY,TEC-MEM-10002005
Wild Stone Edge Perfume Eau de Parfum  -  50 ml,269,Subcat15,Wild COMPNAY,TEC-MA-10000686
Bella vita organic Mens Perfume Gift Set 4x20 ml Perfum...,620,Subcat15,Bella vita organic COMPNAY,OFF-BOS-10001711
ENVY Men Perfume Eau de Parfum  -  30 ml,148,Subcat15,ENVY,OFF-AP-10003971
ARMAF CLUB DE NUIT INTENSE Eau de Parfum  -  150 ml,436,Subcat15,ARMAF CLUB,OFF-BIC-10001510
BEARDO Whisky Smoke EDP 100 ml Eau de Parfum  -  100 ml,660,Subcat15,BEARDO Whisky ,OFF-CAR-10000202
Bella vita organic Luxury Perfume Gift Set with Long La...,620,Subcat15,Bella Vita,OFF-LA-10000635
Wild Stone Ultra Sensual Perfume Eau de Parfum For Men ...,387,Subcat15,Wild Stone,OFF-FA-10001521
FOGG Scent Impressio Eau de Parfum  -  100 ml,390,Subcat15,FOGG,OFF-FA-10002015
ENVY Combo Perfume For Men and Women 70ML + 70ML Eau de...,376,Subcat15,ENVY Combo,FUR-CH-10001429
Bella vita organic SKAI AQUATIC Perfume For Men & Women...,496,Subcat15,Bella Vita,OFF-AP-10001178
"THE MAN COMPANY Body Perfume Trio (Blanc, Rouge and Ble...",890,Subcat15,THE MAN COMPNAY,FUR-BO-10003706
ARMAF Club De Nuit Intense (NEW) Eau de Parfum  -  150 ...,639,Subcat15,ARMAF Club,FUR-TA-10004308
FOGG Scent Expressio 50ml Eau de Parfum  -  50 ml,242,Subcat15,FOGG COMPNAY,TEC-AC-10004487
"La French 0.6 Perfume, Long Lasting Luxurious Fragrance...",350,Subcat15,La French,OFF-ST-10001490
"ARMAF Club De Nuit EDP for Women, 105 ml Eau de Parfum ...",267,Subcat15,ARMAF Club,TEC-CO-10003965
ENVY Combo Perfume For Men 70ML + 70ML Eau de Parfum  -...,376,Subcat15,ENVY,TEC-AC-10001754
ENVY Women Perfume Eau de Parfum  -  30 ml,148,Subcat15,ENVY,FUR-CH-10003551
"ST-JOHN Cobra Perfume (30 ml Each, Pack Of 2) Eau de Pa...",251,Subcat15,ST JOHN,OFF-ST-10004847
La French Oud Woody Long Lasting Men& Women Perfume Fra...,535,Subcat15,La French,OFF-SU-10001407
Wild Stone Ultra Sensual Eau de Parfum  -  50 ml,272,Subcat15,Wild COMPNAY,FUR-CH-10003109
